country,denomination,currency,year_start,year_end,mass_g,diameter_mm,thickness_mm,hole_mm,color_hint,notes,metal_1,pct_1,metal_2,pct_2,metal_3,pct_3,composition_source
United States,Cent,USD,1900,1900,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1900,1900,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1900,1900,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1900,1900,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1900,1900,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1900,1900,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1901,1901,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1901,1901,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1901,1901,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1901,1901,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1901,1901,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1901,1901,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1902,1902,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1902,1902,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1902,1902,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Quarter,USD,1902,1902,6.25,24.26,1.75,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Half Dollar,USD,1902,1902,12.5,30.61,2.15,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Dollar,USD,1902,1902,26.73,38.1,2.4,0.0,silver,90% silver (Morgan/Peace),silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
United States,Cent,USD,1903,1903,3.11,19.05,1.52,0.0,brown,Wheat/MM/Lincoln types vary,copper,0.95,zinc,0.05,none,0.0,color:brown
United States,Nickel,USD,1903,1903,5.0,21.21,1.95,0.0,silver,,copper,0.75,nickel,0.25,none,0.0,color:silver
United States,Dime,USD,1903,1903,2.5,17.91,1.35,0.0,silver,90% silver,silver,0.9,copper,0.0999999999999999,none,0.0,notes:percent
